question,answer,image_url
Kapan Indonesia merdeka,"Pada tanggal 17 Agustus 1945,  ketika Indonesia menyatakan merdeka dari penjajah.",
siapa wr supratman,WR Supratman adalah pencipta lagu kebangsaan Indonesia Raya.,https://s.yimg.com/fz/api/res/1.2/NOfmS3djGLlE9otJRm6GOw--~C/YXBwaWQ9c3JjaGRkO2ZpPWZpdDtoPTEzMDtxPTgwO3c9OTU-/https:/s.yimg.com/zb/imgv1/0d0a4c08-fea2-3b47-8cbd-5f4d1a01cef3/t_500x300
siapa nama pencipta lagu indonesia raya,WR Supratman adalah pencipta lagu kebangsaan Indonesia Raya.,https://s.yimg.com/fz/api/res/1.2/NOfmS3djGLlE9otJRm6GOw--~C/YXBwaWQ9c3JjaGRkO2ZpPWZpdDtoPTEzMDtxPTgwO3c9OTU-/https:/s.yimg.com/zb/imgv1/0d0a4c08-fea2-3b47-8cbd-5f4d1a01cef3/t_500x300
penulis lagu indonesia raya siapa,WR Supratman adalah pencipta lagu kebangsaan Indonesia Raya.,https://s.yimg.com/fz/api/res/1.2/NOfmS3djGLlE9otJRm6GOw--~C/YXBwaWQ9c3JjaGRkO2ZpPWZpdDtoPTEzMDtxPTgwO3c9OTU-/https:/s.yimg.com/zb/imgv1/0d0a4c08-fea2-3b47-8cbd-5f4d1a01cef3/t_500x300
siapa pengarang lagu indonesia raya,WR Supratman adalah pencipta lagu kebangsaan Indonesia Raya.,https://s.yimg.com/fz/api/res/1.2/NOfmS3djGLlE9otJRm6GOw--~C/YXBwaWQ9c3JjaGRkO2ZpPWZpdDtoPTEzMDtxPTgwO3c9OTU-/https:/s.yimg.com/zb/imgv1/0d0a4c08-fea2-3b47-8cbd-5f4d1a01cef3/t_500x300
wr supratman adalah,WR Supratman adalah pencipta lagu kebangsaan Indonesia Raya.,https://s.yimg.com/fz/api/res/1.2/NOfmS3djGLlE9otJRm6GOw--~C/YXBwaWQ9c3JjaGRkO2ZpPWZpdDtoPTEzMDtxPTgwO3c9OTU-/https:/s.yimg.com/zb/imgv1/0d0a4c08-fea2-3b47-8cbd-5f4d1a01cef3/t_500x300
Apa yang menjadi perhatian utama terkait tambang nikel di Raja Ampat?, Tambang nikel menjadi sorotan karena berada di wilayah dengan keanekaragaman hayati laut yang sangat tinggi.,
Apa dampak lingkungan dari aktivitas pertambangan nikel di Raja Ampat?, Aktivitas pertambangan dikhawatirkan akan mengganggu ekosistem yang selama ini dilindungi dan menjadi kebanggaan nasional.,
Siapa yang memberikan izin tambang nikel di Raja Ampat?, Pemerintah Papua Barat sempat memberikan izin usaha pertambangan (IUP).,
Siapa yang menolak keberadaan tambang nikel di Raja Ampat?, Masyarakat lokal serta berbagai organisasi lingkungan menolak tambang tersebut.,
Apa alasan utama penolakan tambang nikel oleh masyarakat dan LSM?, Karena dikhawatirkan akan merusak alam Raja Ampat.,
Apa julukan Raja Ampat dalam konteks lingkungan?, Raja Ampat dikenal sebagai surga bawah laut dunia.,
Berapa persen spesies karang dunia yang ada di Raja Ampat?, Lebih dari 75% spesies karang di dunia terdapat di Raja Ampat.,
Mengapa tambang nikel dinilai bertentangan dengan pelestarian?, Karena kehadirannya bertentangan dengan pelestarian lingkungan dan pengembangan pariwisata berkelanjutan.,
Siapa saja yang terlibat dalam penolakan tambang nikel?," Penolakan melibatkan masyarakat adat,  LSM lingkungan,  dan akademisi.",
Apa yang dituntut oleh para penolak tambang nikel?, Mereka menuntut agar Raja Ampat tetap menjadi kawasan konservasi.,
Apa risiko ilmiah dari aktivitas tambang nikel di Raja Ampat?, Risiko pencemaran air dan tanah yang berdampak pada biota laut dan masyarakat pesisir.,
Apa dampak pencemaran bagi masyarakat pesisir?, Masyarakat pesisir bergantung pada laut untuk kehidupan sehari-hari sehingga pencemaran akan berdampak langsung pada mereka.,
Kapan izin tambang nikel dicabut oleh pemerintah pusat?, Pada tahun 2023.,
Apa alasan pencabutan izin tambang nikel oleh pemerintah pusat?, Karena tekanan publik dan bukti ilmiah tentang dampak lingkungan yang serius.,
Bagaimana reaksi masyarakat terhadap pencabutan izin tambang?, Keputusan ini disambut baik oleh aktivis lingkungan dan masyarakat setempat.,
Apa saja nama perusahaan yang terlibat dalam rencana tambang nikel di Raja Ampat?, PT Anugerah Surya Pacific Resources dan PT Indo Nikel Karya Pratama.,
Mengapa nama perusahaan tambang tersebut menjadi perhatian?, Karena muncul dalam laporan izin usaha pertambangan yang dikeluarkan pemerintah Papua Barat.,
Apa itu nikel?," Nikel adalah logam yang digunakan dalam industri,  terutama untuk baterai kendaraan listrik,  baja tahan karat, dan  dan logam campuran.",https://upload.wikimedia.org/wikipedia/commons/thumb/5/57/Nickel_chunk.jpg/250px-Nickel_chunk.jpg
Apa peran Indonesia dalam produksi nikel dunia?, Indonesia merupakan salah satu produsen nikel terbesar di dunia.,
Mengapa permintaan global terhadap nikel meningkat?, Karena transisi energi ke teknologi ramah lingkungan.,
Siapa yang mengeluarkan izin usaha pertambangan di Raja Ampat?, Pemerintah daerah Papua Barat.,
Mengapa beberapa izin tambang nikel dicabut setelah evaluasi?, Karena tidak sesuai dengan prinsip konservasi lingkungan dan tumpang tindih dengan kawasan konservasi.,
Apa itu Raja Ampat?, Raja Ampat adalah wilayah di Indonesia yang dikenal sebagai surga bawah laut dunia dengan keanekaragaman hayati laut yang sangat tinggi.,https://upload.wikimedia.org/wikipedia/commons/thumb/8/88/Raja_Ampat%2C_Mutiara_Indah_di_Timur_Indonesia.jpg/250px-Raja_Ampat%2C_Mutiara_Indah_di_Timur_Indonesia.jpg
Di mana letak Raja Ampat?," Raja Ampat terletak di Provinsi Papua Barat,  Indonesia.",
Apa keistimewaan lingkungan di Raja Ampat?, Raja Ampat memiliki lebih dari 75% spesies karang di dunia dan merupakan kawasan konservasi yang penting secara global.,
Mengapa Raja Ampat penting untuk konservasi?, Karena memiliki ekosistem laut yang sangat kaya dan menjadi habitat bagi ribuan spesies laut yang dilindungi.,
Apa ancaman lingkungan terbesar di Raja Ampat?, Salah satu ancaman terbesar adalah rencana pertambangan nikel yang dapat merusak ekosistem laut.,
Apa hubungan Raja Ampat dengan tambang nikel?," Beberapa perusahaan sempat mendapat izin tambang nikel di Raja Ampat,  yang kemudian menuai penolakan karena dampak lingkungannya.",
Mengapa masyarakat menolak tambang nikel di Raja Ampat?, Karena tambang tersebut dapat mencemari lingkungan laut dan mengancam keberlangsungan hidup masyarakat pesisir.,
Siapa saja yang menolak tambang nikel di Raja Ampat?," Penolakan datang dari masyarakat adat,  LSM lingkungan,  akademisi,  dan aktivis konservasi.",
Apa dampak tambang nikel terhadap masyarakat Raja Ampat?, Pencemaran air dan tanah akan berdampak pada masyarakat pesisir yang menggantungkan hidup dari laut.,
Apa yang dilakukan pemerintah terkait tambang nikel di Raja Ampat?, Pemerintah pusat mencabut beberapa izin tambang pada tahun 2023 setelah tekanan publik dan bukti dampak lingkungan serius.,
Apa upaya pelestarian yang dilakukan di Raja Ampat?, Upaya pelestarian melibatkan masyarakat lokal dan LSM dalam menjaga kawasan tetap sebagai zona konservasi dan bebas tambang.,
Bagaimana posisi Raja Ampat dalam pariwisata?, Raja Ampat dikenal dunia sebagai destinasi pariwisata berbasis konservasi yang sangat populer karena keindahan bawah lautnya.,
Apa potensi kerusakan jika tambang tetap dilanjutkan di Raja Ampat?," Tambang dapat merusak terumbu karang,  mencemari laut,  dan menghancurkan ekosistem yang menjadi daya tarik wisata alam.",
